使用说明：本库仅提供小说剧情灵感索引与搜索关键词。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制本库中的任何描述作为最终输出。

格式统一为：[类型] @短代码 | 看点 | 视觉关键词 | 情绪关键词 | 
[服饰] @国潮·旗袍战术服 | 旗袍式战术服，全息投影水袖，LED纹样 | 玄黑，朱红，鎏金，光纤丝 | 冷艳、未来 | 24
[仙侠] @神墓·辰南 | 神墓守护者逆天战者，后羿弓射日 | 残破青铜战甲，后羿弓，独孤败天剑魂 | 悲壮、逆天 | 24
[仙侠] @神墓·征天之战 | 诸强杀上九天对抗天道 | 剑气直冲云霄，群英赴死，战歌 | 悲壮、史诗 | 24
[仙侠] @盘龙·林雷 | 龙血战士变身，盘龙戒指 | 棕色长发，碧眼，紫血软剑，巨龙虚影 | 正直、燃 | 24
[仙侠] @盘龙·德林爷爷 | 圣魔导师灵魂逝去，雕艺传承 | 虚幻老者，白色法袍，眼泪 | 感动、师徒 | 2439
[仙侠] @武动乾坤·林动vs林琅天 | 泣血决裂，异魔七王殿合体 | 黑色符文，吞噬祖符，双林之战 | 愤怒、悲壮 | 24
[仙侠] @武动乾坤·林动救绫清竹 | 燃烧金丹，生死相依 | 金色光雨，青莲剑，泪 | 深情、决绝 | 2439
[仙侠] @星辰变·秦羽 | 流星泪传承，星辰变功法 | 黑色劲装，流星泪，星际漂浮 | 坚韧、热血 | 24
[仙侠] @星辰变·连爷爷之死 | 连言战死，秦羽发飙 | 通天图，少年泪，屠尽仇敌 | 愤怒、转折 | 2439
[仙侠] @莽荒纪·纪宁 | 黑白学宫弟子，北冥剑 | 青色道袍，北冥剑，九莲灯 | 冷静、聪慧 | 24
[仙侠] @莽荒纪·纪宁守护信念 | 为所爱之人永远快乐活着 | 剑阵，誓言，泪光 | 深情、治愈 | 2439
[仙侠] @择天记·陈长生 | 逆天改命，周园钥匙 | 白衣少年，黄纸伞，三本道典 | 温和、执着 | 24
[仙侠] @择天记·陈长生拜别师门 | 三叩首，离开师门 | 眼泪，转身，背影 | 不舍、感恩 | 2439

[仙侠] @将夜·宁缺 | 梳碧湖砍柴人，元十三箭 | 旧布衣，铁刀，大黑伞 | 痞气、冷静 | 24
[仙侠] @将夜·桑桑身份暴露 | 昊天化身，举世追杀 | 小黑伞变大，白发女子，全世界为敌 | 孤独、守护 | 2439
[仙侠] @大道朝天·井九 | 青山宗天才，通天一剑 | 白衣，竹剑，双瞳异色 | 冷峻、超然 | 24
[仙侠] @大道朝天·赵腊月陨落 | 为护井九渡劫被天雷劈中 | 星光散去，泪，师傅背影 | 心碎、悲壮 | 2439
[仙侠] @烂柯棋缘·计缘 | 穿越者，弈棋斗法 | 青衫书生，折扇，铜钱化剑 | 洒脱、智斗 | 24
[仙侠] @烂柯棋缘·棋友离别 | 棋未下完人已逝 | 棋盘，泪，未完的棋局 | 遗憾、知己 | 2439
[仙侠] @修真世界·左莫 | 散修，无空剑域，朱雀神火 | 白色短发，金色瞳孔，无空剑 | 狡黠、护短 | 24
[仙侠] @修真世界·南明朱雀 | 灵兽为主人挡天劫而死 | 火羽消散，泪，主人 | 感动、牺牲 | 2439
[仙侠] @通天仙路·欧阳明 | 铁匠后代，通天塔选中者 | 粗布短褂，打铁锤，掌心塔印 | 朴实、坚韧 | 24
[仙侠] @通天仙路·师父兵解 | 毕生功力传给徒弟 | 金光消散，泪，托付 | 传承、悲壮 | 2439
[仙侠] @牧神记·秦牧 | 牧神转世，残老院九老收养 | 灰色长袍，牧笛，斩神玄刀 | 热血、重情 | 24
[仙侠] @牧神记·司婆婆坠崖 | 为救秦牧跌落悬崖 | 悬崖，白发，泪，“你不是野种” | 感动、心痛 | 2439
[仙侠] @沧元图·孟川 | 神魔炼体，斩妖剑 | 黑色劲装，神魔手环，金色剑光 | 冷静、果断 | 24
[仙侠] @沧元图·孟川救妻 | 真龙太子夺凤凰血脉，一刀斩杀 | 凤凰姿态觉醒，金色刀光，护妻 | 深情、燃 | 24
[仙侠] @太乙仙魔录·星象子自爆 | 元婴自爆炸毁灭世法阵 | 金色元婴碎裂，冲击波，笑容 | 悲壮、大义 | 24
[仙侠] @仙剑四·云天河 | 望舒剑宿主，三光剑气 | 兽皮衣，望舒剑，天河剑 | 单纯、倔强 | 24
[仙侠] @仙剑四·韩菱纱盗弓 | 为天河盗后羿弓折寿 | 后羿弓，泪，笑容 | 深情、牺牲 | 2439
[仙侠] @蜀山剑侠传·李英琼 | 紫云宫主，紫青双剑 | 紫衣，双剑，紫云宫令牌 | 飒爽、豪气 | 24
[仙侠] @蜀山剑侠传·紫青合璧 | 紫郢青索合璧，斩妖除魔 | 紫青神光，双剑合一，剑阵 | 正义、燃 | 24
[仙侠] @长生界·萧晨 | 穿越者，祖龙灯，诛仙剑阵 | 白衣，凶兽皮衣，祖龙虚影 | 豪迈、守护 | 24
[仙侠] @昆仑·梁萧 | 天机宫传人，归藏剑法 | 青灰长衫，天罚剑，算盘纹 | 桀骜、聪明 | 24
[仙侠] @沧海·陆渐 | 黑天书继承者，补天劫手 | 黑色鳞甲手，幽蓝光纹，劫力漩涡 | 内敛、坚韧 | 24
[仙侠] @灵山·梅溪 | 散修，五雷正法，前世今生 | 灰色道袍，青玉坠，雷龙 | 淡泊、执着 | 24
[仙侠] @神游·石野 | 金丹大道，神游太虚 | 粗布短褐，炼丹炉，金丹如日 | 憨厚、重情 | 24
[仙侠] @剑王朝·丁宁 | 剑道宗师转世，九境剑法 | 灰色布衣，木剑，剑域 | 隐忍、老成 | 24
[仙侠] @仙傲·楚羽 | 剑宗弟子，仙傲剑意 | 白色剑袍，傲霜剑，剑域 | 孤傲、执着 | 24
[仙侠] @剑道独尊·叶尘 | 外门弟子，天生剑骨 | 灰色剑袍，无名剑，独尊剑域 | 沉默、剑痴 | 24
[仙侠] @绝世剑神·林辰 | 剑神关门弟子，无剑之道 | 白色剑袍，青锋剑，万剑归宗 | 谦逊、坚韧 | 24
[仙侠] @武神·叶空 | 以武入道，武神真身 | 黑色练功服，拳套，金色拳印 | 豪爽、重情 | 24
[仙侠] @九阳踏天·莫尘 | 九阳体质，九阳焚天 | 金色短发，红色战袍，太阳印记 | 热情、冲动 | 24
[武侠] @楚留香传奇·楚留香 | 盗帅，轻功踏月，折扇 | 白色长衫，斗笠，折扇，酒葫芦 | 风流、神秘 | 24
[武侠] @陆小凤传奇·灵犀一指 | 陆小凤以双指夹住任何兵器 | 红色披风，灵犀一指，万梅山庄 | 机智、风流 | 24
[武侠] @七剑下天山·凌未风 | 天山神芒，晦明禅师弟子 | 白衣，长剑，天山雪景 | 孤傲、侠义 | 24
[武侠] @萍踪侠影·张丹枫 | 白衣白马，亦狂亦侠 | 白衣，长剑，江南烟雨 | 潇洒、深情 | 24
[异能] @全球觉醒·竞技场车轮战 | 以一敌多，不断解锁新天赋 | 各色天赋光效，竞技场擂台 | 燃、爽 | 24
[异能] @神秘复苏·杨间鬼域 | 鬼眼展开鬼域，镇压鬼怪 | 灰色领域，鬼影，棺材钉 | 压抑、强大 | 24
[异能] @神秘复苏·鬼画黄泉国 | 展开鬼画领域，万鬼齐鸣 | 古老冥国，鬼画，冥纸飘落 | 诡异、震撼 | 24
[科幻] @机械狂潮·钢铁洪流 | 失控AI机械军团围攻人类堡垒 | 银白色机械潮水，电磁脉冲，机甲反击 | 惨烈、燃 | 24
[科幻] @星际流亡·母亲留氧 | 飞船逃生舱氧气不足，母亲让给女儿 | 氧气面罩，逃生舱，母亲微笑 | 感动、心酸 | 2439

[赛博] @碳变·科瓦奇更换义体 | 意识在不同义体间切换连续战斗 | 义体更换时光线扫描，霓虹雨夜 | 冷峻、暴力 | 24
[赛博] @神经漫游者·莫莉 | 改造人找回人类情感 | 黑色紧身衣，手指剃刀，拥抱 | 冷酷、温柔 | 2439
[机甲] @魔神英雄传·战部渡 | 小学生驾驶龙王丸，登龙剑 | Q版机甲，凤凰形态，彩虹桥 | 热血、童趣 | 24
[机甲] @机甲创世记·斯科特 | 变形摩托VR-052，游击战 | 蓝色游骑兵服，光束手枪，变形机甲 | 孤独、复仇 | 24108
[机甲] @骑士＆魔法·艾尔 | 程序员转世异世界，斑鸠机甲 | 银白机甲，六翼浮游炮，魔法阵列 | 爽快、中二 | 24
[机甲] @重装武器·OBJECT | 巨型球状兵器OBJECT，常规部队对抗 | 主炮一击摧毁山，球体悬浮，爆炸 | 绝望、智斗 | 24
[机甲] @魔法科劣等生·达也 | 分解魔法，CAD决斗 | 蓝色光纹，演算领域，再生 | 冷静、碾压 | 24
[影视] @火影·自来也之死 | 豪杰落幕，佩恩杀死自来也 | 雨隐村，海底，鸣人笑容 | 悲壮、传承 | 2439
[影视] @火影·宇智波鼬灭族真相 | 鼬背负一切，保护佐助 | 月读，万花筒，泪，“原谅我” | 感动、心碎 | 2439
[影视] @海贼王·艾斯之死 | 赤犬贯穿艾斯，路飞崩溃 | 顶上战争，火焰，艾斯微笑 | 心碎、愤怒 | 2439
[影视] @海贼王·路飞vs卡塔库栗 | 见闻色突破，镜世界之战 | 年糕与橡胶碰撞，霸王色对轰 | 燃、尊重 | 24
[影视] @哈利·波特·多比之死 | 自由小精灵为救哈利而死 | 贝壳小屋，银刀，墓碑“自由的小精灵” | 感动、悲伤 | 2439
[影视] @哈利·波特·邓布利多之死 | 斯内普杀死邓布利多，天文塔 | 天文塔，魔杖，斯内普眼神 | 震惊、悲壮 | 2439
[影视] @秦时明月·高渐离雪女合奏 | 琴瑟和鸣，绝响 | 冰与火，雪花，泪 | 悲壮、浪漫 | 24
[影视] @秦时明月·少司命 | 阴阳家木部长老，万叶飞花流 | 紫裙面纱，树叶攻击，沉默 | 神秘、冷艳 | 24
[影视] @斗罗大陆·小舞献祭 | 十万年魂兽为唐三献祭 | 粉色光芒，相思断肠红，小兔子 | 感动、虐心 | 2439
[影视] @斗罗大陆·史莱克七怪幽冥白虎 | 戴沐白朱竹清武魂融合技 | 黑白色光晕，猛虎虚影，团队 | 燃、配合 | 24
[影视] @魔道祖师·蓝忘机认魏无羡 | 十六年等待，凭摸鼻子认出 | 避尘剑，忘机琴，泪 | 深情、重逢 | 2439
[影视] @魔道祖师·江厌离挡剑 | 师姐为魏无羡挡剑而死 | 紫色衣裙，血，莲藕排骨汤 | 心碎、感动 | 2439
[影视] @天官赐福·花城血雨蝶阵 | 血雨探花，红蝶攻击 | 血雨，红蝶，红衣，厄命弯刀 | 华丽、邪魅 | 24
[影视] @天官赐福·谢怜花城重逢 | 八百年后重逢，破庙相认 | 破庙，红线，泪，“哥哥” | 感动、深情 | 2439
[影视] @灵笼·查尔斯光影教会 | 光影之主，教会大厅 | 白袍，金冠，彩色玻璃 | 虚伪、阴险 | 24
[影视] @时光代理人·程小时穿越 | 老照片触发穿越，改变过去 | 老相机，照片，黑白世界 | 悬疑、温暖 | 24
[影视] @罗小黑战记·风息化森林 | 妖精为家园化作原始森林 | 森林，金光，小黑眼泪 | 悲壮、信念 | 24
[影视] @雾山五行·苏小安 | 少女用弹弓与妖兽战斗 | 粗布衣，弹弓，火焰石子 | 坚毅、勇敢 | 24
[影视] @姜子牙·四不像 | 神兽坐骑，为救姜子牙而死 | 白色神兽，泪，缺角 | 感动、忠诚 | 2439
[影视] @白蛇缘起·小青 | 青蛇妖，直率泼辣 | 青色劲装，双剑，柳叶眉 | 泼辣、重情 | 24
[影视] @大鱼海棠·湫化风雨 | 舍身化作风雨送椿去人间 | 海天之门，落叶，风雨 | 深情、无私 | 2439
[影视] @风语咒·郎明母亲化罗刹 | 母亲为救儿子自愿变罗刹 | 罗刹，泪，金光 | 感动、母爱 | 2439
[影视] @中国奇谭·鹅鹅鹅 | 狐狸书生，套娃式幻境 | 水墨，书生，鹅笼 | 诡异、哲理 | 24
[国潮] @国潮·傩面电子驱魔 | 傩戏面具+电子脑黑客 | 半透明傩面，全息符文，钟馗虚影 | 神秘、降维 | 24
[国潮] @国潮·青花瓷纳米装甲 | 元青花纹+纳米液态金属 | 青蓝液态金属，缠枝莲纹，开片裂纹 | 冷艳、科技 | 24
[国潮] @国潮·皮影影子军团 | 皮影戏+三维立体投影 | 影子脱出成傀儡，立体神将 | 诡异、傀儡 | 24
[国潮] @国潮·瓷胎竹编外骨骼 | 竹编工艺+外骨骼机甲 | 竹条骨架，瓷片装甲，青花 | 温润、力量 | 24108
[国潮] @国潮·火壶熔岩喷射器 | 传统火壶表演+喷射背包 | 陶罐喷射器，熔岩，金色火花 | 炙热、危险 | 24
[国潮] @国潮·算盘量子处理器 | 算盘珠+量子计算 | 黑檀木算盘，悬浮量子比特，九章 | 仪式、哲思 | 24
[仙侠] @神墓·辰南补 | 神魔陵园守墓人，独孤败天之子 | 残破战甲，后羿弓，战天歌 | 悲壮、宿命 | 24
[仙侠] @神墓·独孤败天 | 太古第一禁忌神魔，以身为兵 | 血色长袍，魔剑，孤独背影 | 悲壮、无敌 | 24
[仙侠] @长生界·珂珂 | 可爱雪白小兽，天赋异禀 | 雪白绒毛，七彩祥云，奶凶 | 萌、燃 | 24

[仙侠] @遮天·叶凡 | 荒古圣体，九龙拉棺，天帝之路 | 九龙拉棺，荒古禁地，金色苦海 | 热血、逆天 | 24
[仙侠] @遮天·狠人 | 白衣鬼脸，混沌青莲，一剑破万法 | 白衣，鬼脸面具，混沌青莲，泪 | 孤寂、悲凉 | 2439
[仙侠] @遮天·无始 | 无始大帝，无始钟，镇压黑暗 | 青铜大钟，帝威，镇压万古 | 威严、苍凉 | 24
[仙侠] @完美世界·石昊 | 荒天帝，他化自在，独断万古 | 鲲鹏翅，雷帝甲胄，他化自在分身 | 燃、悲壮 | 24
[仙侠] @完美世界·柳神 | 祖祭灵，柳树法相，护佑下界 | 金色柳枝，翠绿神树，光雨 | 神圣、守护 | 24
[仙侠] @完美世界·安澜 | 异域不朽之王，骑牛而来 | 黑牛，长矛，撕裂虚空 | 霸道、碾压 | 24
[仙侠] @凡人修仙传·韩立 | 凡人逆袭，掌天瓶，青竹蜂云剑 | 绿色光雨，飞剑如潮，血色禁地 | 冷静、隐忍 | 24
[仙侠] @凡人修仙传·南宫婉 | 掩月宗圣女，冰魄仙子 | 月白长裙，冰晶，含情脉脉 | 清冷、深情 | 2439
[仙侠] @诛仙·张小凡 | 噬魂棒，血公子，佛道魔三修 | 噬魂棒黑气，诛仙剑光，血色天地 | 悲壮、宿命 | 24
[仙侠] @诛仙·陆雪琪 | 天琊剑，白衣如雪，十年等待 | 天琊剑，冰蓝剑气，泪眼 | 清冷、深情 | 2439
[仙侠] @仙逆·王林 | 天逆珠，逆修之路，杀伐果断 | 紫色雷光，天逆珠，白发 | 冷酷、悲凉 | 24
[仙侠] @仙逆·李慕婉 | 为王林炼丹，为爱牺牲 | 丹炉，紫色丹药，泪 | 深情、心碎 | 2439
[仙侠] @求魔·苏铭 | 魔子，灭世之瞳，逆天改命 | 黑色魔焰，灭世之瞳，枯骨 | 悲壮、孤寂 | 24
[仙侠] @封天·孟浩 | 八世轮回，苍茫老祖 | 八世虚影，苍茫指，金色光芒 | 燃、豪迈 | 24
[武侠] @多情剑客无情剑·李寻欢 | 飞刀问情，兄弟情仇 | 飞刀，木雕，梅花 | 苍凉、孤傲 | 2439
[武侠] @边城浪子·傅红雪 | 复仇刀客，黑色刀鞘，跛足 | 黑刀，血色，荒漠夕阳 | 悲怆、决绝 | 24
[武侠] @绝代双骄·小鱼儿 | 聪明狡黠，恶人谷长大 | 伤疤脸，狡黠笑容，飞镖 | 机智、幽默 | 2439
[武侠] @楚留香·楚留香 | 盗帅，轻功绝顶，风流倜傥 | 白衣，折扇，轻功踏月 | 潇洒、风流 | 24
[异能] @大王饶命·吕树 | 毒舌系统，情绪值修炼 | 黑色灵气，情绪值光效，搞笑表情 | 幽默、燃 | 24
[异能] @第一序列·任小粟 | 金属系异能，堡垒，墙 | 飞刀，金属风暴，钢铁城墙 | 燃、守护 | 24
[科幻] @三体·黑暗森林 | 黑暗森林法则，猜疑链 | 宇宙星河，黑暗森林，猎人瞄准镜 | 哲思、绝望 | 24
[科幻] @三体·程心 | 执剑人失败，二维化太阳系 | 二维化太阳系，巨画，泪 | 心碎、悲壮 | 2439
[科幻] @流浪地球·刘培强 | 点燃木星，父子诀别 | 空间站冲向木星，泪，告别 | 悲壮、感动 | 2439
[科幻] @沙丘·保罗 | 穆阿迪布，骑沙虫，帝国预言 | 沙虫，金色沙漠，蓝色眼睛 | 史诗、宿命 | 24
[赛博] @银翼杀手·Roy | 雨中独白，复制人悲歌 | 雨夜，白鸽，霓虹 | 悲壮、哲思 | 2439
[赛博] @攻壳机动队·素子 | 全身义体，Ghost，傀儡师 | 光学迷彩，数据流，脑机接口 | 哲思、强大 | 24
[机甲] @高达SEED·基拉 | 强袭自由，爆种，五彩大炮 | 五彩光束，龙骑兵系统，爆种蓝光 | 燃、正义 | 24
[机甲] @高达00·刹那 | 能天使，天人组织，变革者 | GN粒子，光束军刀，红眼 | 燃、信念 | 24
[机甲] @EVA·真嗣 | 初号机暴走，同步率400% | 紫色机甲，暴走红眼，AT力场 | 绝望、觉醒 | 24
[影视] @长安十二时辰·张小敬 | 不良帅，死囚，拯救长安 | 唐装，望楼，烽火，刀光 | 热血、悲壮 | 24
[影视] @庆余年·范闲 | 穿越者，诗仙，刺杀庆帝 | 白衣，诗仙醉酒，霸道真气 | 机智、燃 | 24
[影视] @琅琊榜·梅长苏 | 江左梅郎，赤焰军冤案 | 白衣，火寒毒，朝堂，雪花 | 悲壮、智谋 | 2439
[影视] @陈情令·魏无羡 | 夷陵老祖，笛子驭尸，十六年后 | 黑笛，怨灵，白衣，红线 | 深情、悲壮 | 2439
[影视] @山河令·周子舒 | 天窗首领，七窍三秋钉 | 白衣，斗笠，长剑，雪山 | 悲壮、深情 | 2439
[国潮] @赛博敦煌·飞天机甲 | 敦煌飞天+机械臂，全息飘带 | 石窟，飞天机械翼，全息飘带 | 神圣、科幻 | 24
[国潮] @赛博三星堆·青铜机甲 | 三星堆青铜面具+机甲 | 青铜面具，机械眼，黄金权杖 | 神秘、震撼 | 24
[国潮] @赛博京剧·数字脸谱 | 京剧脸谱+全息投影变脸 | 脸谱，全息光效，数字水袖 | 华丽、炫酷 | 24
[刑侦] @白夜追凶·关宏峰 | 双胞胎兄弟共用身份破案 | 疤痕脸，黑夜，警局 | 紧张、智斗 | 2439
[刑侦] @无证之罪·严良 | 老刑警，骆闻杀人案 | 雪地，烟头，红色围巾 | 压抑、悲凉 | 2439


[仙侠] @仙逆·王林拓森 | 夺舍拓森，天逆珠觉醒 | 紫色雷电，天逆珠光芒，拓森肉身 | 燃、逆袭 | 24
[仙侠] @求魔·苏铭灭世之瞳 | 灭世之瞳开眼，天地变色 | 黑色魔焰，灭世之瞳，天地崩塌 | 悲壮、毁灭 | 24
[仙侠] @封天·孟浩苍茫指 | 苍茫一指，碾压众生 | 金色手指，虚空破碎，天地震颤 | 霸气、碾压 | 24
[仙侠] @三寸人间·王宝乐 | 胖修士，剑道社，逆袭之路 | 胖墩体型，剑气，搞笑表情 | 幽默、燃 | 24
[武侠] @萧十一郎 | 大盗萧十一郎，割鹿刀 | 黑衣，割鹿刀，狼群 | 孤独、豪迈 | 24
[武侠] @三少爷的剑·谢晓峰 | 神剑山庄三少爷，剑神 | 白衣，长剑，江湖恩怨 | 孤傲、决绝 | 24
[武侠] @流星蝴蝶剑·孟星魂 | 杀手，蝴蝶，爱情与背叛 | 黑衣，蝴蝶，血色 | 悲凉、深情 | 2439
[异能] @全职高手·叶修 | 网游大神，君莫笑，千机伞 | 千机伞，散人技能，荣耀联赛 | 燃、热血 | 24
[异能] @全职法师·莫凡 | 雷火双系，恶魔化，帝王战 | 紫黑雷云，赤红火焰，恶魔虚影 | 燃、霸道 | 24
[科幻] @三体·云天明 | 三个童话，二向箔，与程心告别 | 童话星球，二向箔，光速飞船 | 深情、悲壮 | 2439
[科幻] @三体·章北海 | 自然选择号，前进四，星舰地球 | 星际战舰，背影，抉择 | 悲壮、决绝 | 2439
[科幻] @乡村教师·碳基文明 | 文明等级测试，教师拯救地球 | 星际战场，乡村教室，蜡烛 | 感动、宏大 | 2439
[赛博] @赛博英雄传·向山 | 武学与义体融合，武侠黑客 | 义体拳罡，数据流，霓虹雨夜 | 燃、哲思 | 24
[机甲] @机甲武士剑·AKI | 红色机甲武士，剑术对决 | 红色机甲，武士刀，机甲格斗 | 燃、热血 | 24108
[机甲] @地球外少年少女·七海 | 太空空间站，机甲战斗，少年成长 | 太空站，小型机甲，星辰 | 燃、成长 | 24
[影视] @绣春刀·沈炼 | 锦衣卫，兄弟情，雨夜追杀 | 飞鱼服，绣春刀，雨夜，血 | 悲壮、燃 | 24
[影视] @剑雨·细雨 | 细雨剑法，转轮王，爱恨情仇 | 长剑，面具，雨夜，禅意 | 悲壮、唯美 | 2439
[影视] @卧虎藏龙·玉娇龙 | 青冥剑，江湖与自由 | 青冥剑，竹林，悬崖一跃 | 悲怆、自由 | 2439
[影视] @英雄·无名 | 残剑，飞雪，十步一杀 | 红衣，剑阵，万箭齐发 | 悲壮、史诗 | 24
[影视] @功夫·包租婆 | 狮吼功，太极拳，逆袭 | 木桶，拖鞋，狮吼功音波 | 搞笑、燃 | 24
[影视] @少林足球·五师兄 | 大力金刚腿，少林功夫踢足球 | 破旧球鞋，足球，少林功夫 | 燃、搞笑 | 24
[影视] @功夫熊猫·阿宝 | 神龙大侠，太极，无字天书 | 熊猫，包子，翡翠宫，烟花 | 燃、治愈 | 24
[影视] @千与千寻·无脸男 | 孤独，吞噬，找回自我 | 黑色虚影，黄金，海上列车 | 治愈、孤独 | 2439
[影视] @龙猫·小梅 | 森林精灵，龙猫巴士，童年幻想 | 龙猫，猫巴士，森林，雨夜 | 治愈、温暖 | 2439
[影视] @幽灵公主·阿席达卡 | 被诅咒少年，守护森林 | 鹿神，狼群，木灵，箭 | 悲壮、环保 | 24
[影视] @风之谷·娜乌西卡 | 御风公主，虫族女王，拯救腐海 | 滑翔翼，王虫，金色触手 | 悲壮、治愈 | 2439
[国潮] @赛博熊猫·竹笋机甲 | 熊猫+机甲，竹笋变武器 | 熊猫，竹笋机甲，竹林赛博 | 萌、燃 | 24
[国潮] @赛博葫芦娃·七色光炮 | 葫芦娃+机甲，七色合体 | 七色机甲，葫芦，合体光炮 | 燃、童年 | 24
[国潮] @赛博哪吒·风火轮飞行器 | 哪吒+赛博，混天绫变能量带 | 风火轮飞行器，混天绫光带，火尖枪 | 燃、狂气 | 24
[国潮] @赛博西游记·金箍棒光炮 | 悟空+机甲，金箍棒变光束炮 | 机甲悟空，金箍棒光炮，筋斗云飞行器 | 燃、经典 | 24
[国潮] @赛博山海经·应龙机械翼 | 应龙+机械翼，风雷之力 | 应龙机械翼，青色电弧，山海虚影 | 燃、神圣 | 24
[服饰] @仙侠·女帝 | 龙袍凤冠，帝王威严 | 玄黑金龙袍，凤冠，玉玺 | 霸气、威严 | 24
[服饰] @仙侠·魔尊 | 暗黑长袍，血色符文，邪魅 | 暗红长袍，血色符文，白骨 | 邪魅、霸气 | 24
[服饰] @赛博·武神 | 义体战甲，武侠美学 | 银黑机甲，披风，武士刀 | 燃、冷峻 | 24
[刑侦] @法证先锋·高彦博 | 法证技术，抽丝剥茧 | 实验室，试管，显微镜 | 冷静、专业 | 2439
[刑侦] @暗黑者·罗飞 | 高智商罪犯，Darker | 黑色斗篷，扑克牌，城市夜景 | 悬疑、智斗 | 2439
[克苏鲁] @诡秘之主·克莱恩愚者 | 塔罗会，源堡，序列0愚者 | 灰雾，铜哨，黄水晶 | 神秘、超然 | 24
[克苏鲁] @诡秘之主·阿蒙 | 错误序列，时之虫，偷盗者 | 单片眼镜，古堡，时钟 | 诡谲、压迫 | 24
[无限流] @惊悚乐园·封不觉 | 疯子玩家，游戏BUG，黑色幽默 | 小丑面具，游戏面板，冷笑 | 搞笑、燃 | 24


[仙侠] @剑来·齐静春 | 儒家圣人，为护书院身陨 | 青色儒袍，书卷，浩然正气 | 悲壮、师恩 | 2439
[仙侠] @剑来·阿良 | 剑修天花板，嬉笑怒骂，斩妖 | 破旧长袍，酒葫芦，青色剑气 | 豪迈、洒脱 | 24
[仙侠] @剑来·宁姚 | 剑气长城之主，白衣女剑仙 | 白衣，长剑，白发飘动 | 清冷、深情 | 2439
[仙侠] @诡秘之主·罗塞尔 | 大帝，奇术师，黑皇帝 | 王座，皇冠，黑色火焰 | 霸气、神秘 | 24
[仙侠] @诡秘之主·梅迪奇 | 红天使，索伦，艾因霍恩 | 红色铠甲，火焰，战争虚影 | 暴烈、疯狂 | 24
[仙侠] @诡秘之主·查拉图 | 隐秘贤者，命运之蛇 | 古袍，蛇形虚影，星辰 | 神秘、诡谲 | 24
[武侠] @雪山飞狐·胡斐 | 辽东大侠，苗人凤决斗 | 雪地，长刀，悬崖 | 决绝、悲凉 | 24
[武侠] @飞狐外传·程灵素 | 毒手药王弟子，为爱殉情 | 药篮，毒草，泪眼 | 深情、心碎 | 2439
[武侠] @书剑恩仇录·陈家洛 | 红花会总舵主，霍青桐 | 白衣，折扇，大漠 | 悲壮、柔情 | 24
[异能] @超神机械师·韩潇 | 玩家变NPC，机械系超神 | 银色机甲，数据面板，机械臂 | 燃、爽 | 24
[异能] @异常生物见闻录·郝仁 | 希灵帝国审查官，搞笑日常 | 黑色风衣，审查官证件，星空 | 搞笑、燃 | 24
[科幻] @深空之下·李恒 | 星际开拓，文明进化 | 宇宙战舰，星云，进化之光 | 史诗、宏大 | 24
[科幻] @死在火星上·唐跃 | 火星生存，孤独，绝望 | 红色火星，宇航服，地球背影 | 孤独、绝望 | 2439
[赛博] @电子游戏污染的宿命·林谦 | 赛博武侠，替身使者 | 全息投影，数据线，霓虹小巷 | 诡谲、燃 | 24
[赛博] @少女前线·M4A1 | 战术人形，指挥官，涅托 | 军装，机械耳，战术眼镜 | 冷静、燃 | 24
[机甲] @机动战士高达·独角兽 | 巴纳吉，独角兽，拉普拉斯之盒 | 白色机甲，红色独角，精神骨架 | 燃、信念 | 24108
[机甲] @机动战士高达·巴巴托斯 | 三日月，铁华团，狼王 | 铁锈红机甲，大锤，蓝色光刃 | 燃、悲壮 | 24108
[影视] @封神第一部·姬发 | 质子旅，反出朝歌，骑雪龙驹 | 铠甲，白马，黄河 | 燃、成长 | 24
[影视] @封神第一部·殷郊 | 太子，被父亲追杀，法相 | 黄金甲，法相，血泪 | 悲壮、宿命 | 2439
[影视] @流浪地球2·图恒宇 | 数字生命，上传女儿，拯救地球 | 数字世界，量子计算机，泪 | 深情、科幻 | 2439
[影视] @流浪地球2·周喆直 | 外交官，移山计划，核爆月球 | 西装，核弹按钮，月球 | 悲壮、智慧 | 2439
[影视] @满江红·张大 | 小兵，精忠报国，全军复诵 | 铠甲，血书，《满江红》 | 悲壮、燃 | 2439
[影视] @长安三万里·李白 | 诗仙，将进酒，大鹏一日同风起 | 白衣，黄河，仙鹤 | 豪迈、洒脱 | 24
[影视] @深海·南河 | 小丑，深海大饭店，拯救参宿 | 小丑妆，深海，红色披风 | 治愈、牺牲 | 2439
[影视] @铃芽之旅·铃芽 | 闭门师，要石，往门 | 黄色雨衣，木椅，星空 | 治愈、燃 | 24
[影视] @你的名字·泷 | 穿越时空，黄昏之时，拯救三叶 | 彗星，绳结，黄昏时光 | 深情、奇幻 | 2439
[影视] @天气之子·帆高 | 百分百晴女，献祭，救阳菜 | 雨滴，鸟居，天空鱼 | 深情、燃 | 2439
[影视] @灌篮高手·樱木花道 | 天才，绝杀山王，全国大赛 | 红发，球衣，篮球，计分牌 | 燃、热血 | 24
