使用说明：本库仅提供非物质文化遗产的灵感索引与搜索方向（短代码、关键词、情绪标签）。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制库内任何描述作为最终输出。

主规则能够解析 [非遗] @京剧 | 看点 | 视觉关键词 | 情绪关键词 | 关联规则
[非遗] @中式婚礼 | 凤冠霞帔，状元服，花轿，拜堂，合卺酒，红盖头 | 红、金，大红喜字，暖黄烛光 | 喜庆、传统、热闹 | 24
[非遗] @腰鼓 | 陕北黄土高原，腰鼓斜挎，红绸白褂白羊肚手巾 | 红、白、黄，黄土，正午逆光，动态抓拍 | 热烈、豪放、喜庆 | 24,162
[非遗] @芦笙舞 | 苗族，芦笙（六管），吹跳结合，银饰盛装，圆圈舞 | 银、蓝、彩，苗寨梯田，柔光 | 欢快、民族、银饰 | 24
[非遗] @土家族摆手舞 | 湘西，摆手堂，摆手歌，祭祀舞蹈 | 彩衣、红、蓝，土家族村寨，篝火 | 古朴、热烈、祭祀 | 24
[非遗] @瑶族长鼓舞 | 广西/湖南，长鼓，男女对舞，盘王节 | 红、黑、银，瑶寨，月光 | 刚劲、柔美、节庆 | 24
[非遗] @朝鲜族农乐舞 | 吉林，象帽舞，彩带，农耕仪式 | 彩带、白、蓝，田间，正午 | 欢快、旋转、丰收 | 24
[非遗] @维吾尔族赛乃姆 | 新疆，即兴舞蹈，手鼓伴奏，男女对舞 | 彩裙、红、绿，果园，暖光 | 欢快、自由、民族 | 24
[非遗] @蒙古族马头琴 | 马头琴，潮尔，长调伴奏，草原史诗 | 棕、白，草原夕阳，侧逆光 | 苍凉、悠远、深情 | 24,39
[非遗] @彝族海菜腔 | 云南，对唱形式，高亢嘹亮，海菜腔调 | 蓝、绿，高原湖泊，自然光 | 高亢、原始、山野 | 24
[非遗] @侗族琵琶歌 | 贵州/广西，侗族琵琶，叙事长歌，多声部 | 木、彩，鼓楼，夜晚，篝火 | 叙事、和谐、民族 | 24
[非遗] @高山族拉手舞 | 台湾，集体舞，拉手围圈，祭祀节庆 | 彩衣、花，海边，夕阳 | 团结、欢快、古朴 | 24
[非遗] @鄂伦春族萨满舞 | 黑龙江，萨满祭祀，神鼓，模仿动物 | 皮草、彩条，森林，篝火 | 神秘、原始、力量 | 24,22
[非遗] @独龙族剽牛祭天 | 云南，独龙族，剽牛仪式，祭祀天神 | 牛、红、白，峡谷，正午 | 原始、震撼、信仰 | 24
[非遗] @基诺族大鼓舞 | 西双版纳，大鼓，男女合舞，祭祀创世神 | 鼓、彩衣，雨林，晨光 | 原始、古朴、力量 | 24
[非遗] @德昂族浇花节 | 泼水节变异，浴佛，互相泼水，采花 | 水花、彩衣，竹林，正午 | 欢乐、祈福、民族 | 24
[非遗] @傈僳族刀杆节 | 云南，爬刀杆，下火海，勇敢者的节日 | 刀、火、红，山寨，夜晚火光 | 惊险、勇敢、祭祀 | 24,22,162
[非遗] @拉祜族葫芦节 | 云南，葫芦崇拜，跳芦笙舞，祭祀祖先 | 葫芦、彩，山寨，篝火 | 古朴、欢快、信仰 | 24
[非遗] @佤族木鼓节 | 云南，拉木鼓，剽牛，祭祀神灵 | 木鼓、红，山寨，正午 | 原始、震撼、力量 | 24
[非遗] @纳西族东巴画 | 丽江，东巴纸，象形文字，宗教画卷 | 彩、黄、白，东巴院，柔光 | 神秘、古朴、宗教 | 24
[非遗] @藏族羌姆 | 藏传佛教跳神，面具，法舞，驱鬼祈福 | 彩面具、金、红，寺庙，逆光 | 神秘、威严、宗教 | 24,22
[非遗] @蒙古族搏克 | 摔跤，将嘎（彩带），鹰步，那达慕 | 皮衣、彩带，草原，正午 | 力量、技巧、传统 | 24,162
[非遗] @回族花儿会 | 西北，花儿对唱，山野集会，情歌为主 | 民族服装，山野，暖阳 | 高亢、自由、爱情 | 24
[非遗] @白族绕三灵 | 大理，绕行三座寺庙，歌舞，祭祀本主 | 白族服装，苍山洱海，柔光 | 欢快、信仰、民俗 | 24
[非遗] @壮族铜鼓舞 | 云南/广西，铜鼓，男女围圈，祭祀舞蹈 | 铜鼓、彩衣，山寨，篝火 | 雄浑、古朴、祭祀 | 24
[非遗] @布依族六月六 | 贵州，祭田神，对歌，赶表 | 蓝、青，稻田，正午 | 民俗、对歌、祭祀 | 24
[非遗] @水族端节 | 贵州，赛马，祭祀祖先，吃年夜饭 | 马尾，山寨，篝火 | 古老、隆重、团聚 | 24
[非遗] @仡佬族吃新节 | 贵州，新米祭祀，歌舞，打篾鸡蛋 | 彩衣，梯田，正午 | 感恩、丰收、欢乐 | 24
[非遗] @羌族瓦尔俄足节 | 四川，妇女节，祭祀女神，歌舞 | 羌绣，山寨，晨光 | 女性、祭祀、柔美 | 24
[非遗] @京族哈节 | 广西，祭祀海神，唱哈，竹杠舞 | 白、蓝，海边，正午 | 海洋、祭祀、信仰 | 24
[非遗] @毛南族分龙节 | 广西，祈雨，舞龙，五色糯米饭 | 彩、糯米饭，山村，雨雾 | 祈雨、色彩、民俗 | 24
[非遗] @仫佬族依饭节 | 广西，感恩还愿，祭祀祖先，唱彩调 | 彩衣，山寨，篝火 | 感恩、喜庆、信仰 | 24
[非遗] @普米族拈达则 | 云南，祭祀山神，跳锅庄，放鞭炮 | 彩衣，高原，晨光 | 原始、信仰、欢快 | 24
[非遗] @怒族仙女节 | 云南，祭祀仙女，洗澡会，歌舞 | 彩衣，江边，柔光 | 女性、祭祀、柔美 | 24
[非遗] @阿昌族窝罗节 | 云南，蹬窝罗，祭祀祖先，对歌 | 彩衣，山寨，篝火 | 欢快、祭祀、团结 | 24
[非遗] @布朗族桑康节 | 云南，泼水，浴佛，堆沙塔 | 彩衣，傣楼，正午 | 佛教、泼水、欢乐 | 24
[非遗] @德昂族腰箍 | 德昂族，竹腰箍，银项圈，女子盛装 | 竹、银、黑，茶山，柔光 | 民族、装饰、古朴 | 24,161
[非遗] @鄂温克族驯鹿文化 | 内蒙古，驯鹿，桦树皮制品，撮罗子 | 棕、白，森林，晨雾 | 驯鹿、游猎、原始 | 24
[非遗] @赫哲族鱼皮衣 | 黑龙江，鱼皮缝制，云纹，萨满信仰 | 鱼皮色、黑，乌苏里江，自然光 | 渔猎、原始、匠心 | 24,161
[非遗] @达斡尔族鲁日格勒 | 内蒙古，民间歌舞，模仿动物，踩高跷 | 彩衣，草原，正午 | 欢快、模仿、舞蹈 | 24
[非遗] @锡伯族西迁节 | 新疆，纪念西迁，射箭，摔跤，歌舞 | 箭靶、彩衣，西北，正午 | 纪念、英勇、传统 | 24,162
[非遗] @俄罗斯族巴斯克节 | 内蒙古，复活节，彩蛋，手风琴，聚餐 | 彩蛋、彩衣，俄罗斯族村，暖光 | 宗教、欢乐、民族 | 24
[非遗] @塔吉克族鹰舞 | 新疆，模仿鹰，鹰笛，手鼓，帕米尔高原 | 鹰笛、彩衣，雪山，逆光 | 雄鹰、自由、高原 | 24,22
[非遗] @哈萨克族冬不拉 | 新疆，冬不拉，弹唱，草原叙事 | 棕、红，草原夕阳，侧逆光 | 苍凉、叙事、游牧 | 24
[非遗] @柯尔克孜族玛纳斯 | 新疆，英雄史诗，弹唱，玛纳斯奇 | 白毡帽，帕米尔，自然光 | 史诗、英雄、游牧 | 24
[非遗] @乌孜别克族木卡姆 | 新疆，木卡姆分支，歌舞乐一体 | 彩衣，艾德莱斯，果园 | 华丽、欢快、民族 | 24
[非遗] @塔塔尔族撒班节 | 新疆，犁头节，赛马，摔跤，歌舞 | 彩衣，草原，正午 | 农耕、欢快、民族 | 24
[非遗] @满族颁金节 | 庆祝满族命名日，祭祀祖先，旗袍，萨满舞 | 旗袍、红、金，满族民居 | 纪念、传统、庄重 | 24
[非遗] @朝鲜族秋千 | 吉林，高空秋千，传统服饰，掷柶游戏 | 彩裙，蓝天，正午阳光 | 竞技、优雅、传统 | 24,162
[非遗] @苗族古歌 | 苗族创世史诗，多人对唱，传承民族历史 | 银饰、盛装，苗寨，篝火，夜晚 | 古朴、神秘、史诗 | 24,39
[非遗] @花儿 | 西北民歌，高亢嘹亮，即兴对唱，山野之间 | 黄土高原，蓝天，放羊人，逆光 | 高亢、自由、苍凉 | 24
[非遗] @蒙古族安代舞 | 科尔沁草原，集体圆圈舞，彩绸，跺踏为节 | 彩绸、红、绿，草原，正午阳光 | 热烈、奔放、欢快 | 24
[非遗] @傣族泼水节 | 傣历新年，互相泼水，龙舟，放高升，浴佛 | 水花、彩衣，雨林，正午阳光 | 欢乐、吉祥、祝福 | 24
[非遗] @彝族火把节 | 农历六月二十四，火把，篝火晚会，摔跤，斗牛 | 火焰、红、黑，夜晚，火光映脸 | 热烈、原始、狂欢 | 24
[非遗] @藏历年 | 藏族新年，切玛盒，青稞苗，酥油花，跳锅庄 | 彩、金、白，藏式民居，酥油灯 | 喜庆、吉祥、民族 | 24
[非遗] @中医诊法 | 中医四诊，脉诊，舌诊，辨证论治 | 银针、草药、脉枕，老中医，自然光 | 智慧、传统、医学 | 24
[非遗] @中医养生 | 药食同源，食疗，滋补汤，二十四节气养生 | 药材、食材，厨房暖光，蒸汽 | 养生、传统、食疗 | 24
[非遗] @回族重刀 | 天津，武术，重刀，练力 | 大刀，武馆，硬光 | 力量、武术、回族 | 24,162
[非遗] @满族二贵摔跤 | 河北，一人扮两人，假人，摔跤 | 彩衣，广场，正午 | 滑稽、摔跤、满族 | 24
[非遗] @鄂温克族瑟宾节 | 内蒙古，庆祝丰收，赛马，歌舞 | 彩衣，草原，正午 | 丰收、竞技、鄂温克 | 24
[非遗] @鄂伦春族篝火舞 | 黑龙江，篝火，集体舞，模仿动物 | 皮衣，森林，篝火 | 原始、篝火、鄂伦春 | 24
[非遗] @赫哲族乌日贡大会 | 黑龙江，渔猎文化，体育竞技，说唱 | 鱼皮衣，江边，正午 | 渔猎、竞技、赫哲 | 24
[非遗] @达斡尔族曲棍球 | 内蒙古，传统曲棍球，火球，击球 | 木棍，草地，正午 | 体育、曲棍球、达斡尔 | 24,162


[非遗] @江南丝竹 | 笛箫二胡琵琶扬琴，丝竹合奏，柔和细腻 | 淡雅色调，江南园林，柔光 | 婉转、细腻、典雅 | 24
[非遗] @广东音乐 | 高胡、扬琴、秦琴，明亮华彩，步步高 | 暖黄、红，岭南庭院，自然光 | 明快、华丽、粤韵 | 24
[非遗] @彝族阿细跳月 | 云南，三弦，跳月，节庆舞蹈 | 彩衣，月下，篝火 | 欢快、跳月、彝族 | 24
[非遗] @傣族象脚鼓舞 | 云南，象脚鼓，男子独舞，模仿象 | 彩衣，雨林，正午 | 阳刚、象舞、傣族 | 24
[非遗] @哈尼族棕扇舞 | 云南，棕扇，祭祀舞蹈，模仿动物 | 棕扇，梯田，晨光 | 原始、祭祀、哈尼 | 24,22
[非遗] @瑶族盘王节 | 广西/湖南，祭祀盘王，长鼓舞，还盘王愿 | 彩衣，瑶寨，篝火 | 祭祀、史诗、瑶族 | 24
[非遗] @苗族姊妹节 | 贵州，东方情人节，姊妹饭，对歌 | 彩衣，苗寨，春日 | 爱情、对歌、苗族 | 24
[非遗] @壮族三月三 | 广西，歌圩，抛绣球，五色糯米饭 | 彩衣，歌圩，春日 | 对歌、爱情、壮族 | 24
[非遗] @藏族雪顿节 | 西藏，晒佛，藏戏，酸奶宴 | 彩旗，哲蚌寺，逆光 | 宗教、藏戏、雪顿 | 24
[非遗] @蒙古族那达慕 | 内蒙古，赛马摔跤射箭，男儿三艺 | 彩衣，草原，正午 | 雄浑、竞技、蒙古 | 24,162
[非遗] @维吾尔族麦西热甫 | 新疆，歌舞聚会，木卡姆，游戏 | 彩裙，果园，暖光 | 欢乐、歌舞、维族 | 24
[非遗] @哈萨克族阿依特斯 | 新疆，对唱，即兴，冬不拉 | 彩衣，草原，夕阳 | 即兴、对唱、哈萨克 | 24
[非遗] @柯尔克孜族库姆孜 | 新疆，考姆兹琴，弹唱，英雄史诗 | 木色，帕米尔，逆光 | 游牧、史诗、柯族 | 24
[非遗] @锡伯族贝伦舞 | 新疆，模仿动物，即兴，节日舞蹈 | 彩衣，草原，正午 | 即兴、动物、锡伯 | 24
[非遗] @达斡尔族乌钦 | 黑龙江，说唱史诗，民族历史 | 皮衣，江边，篝火 | 史诗、说唱、达斡尔 | 24
[非遗] @鄂伦春族赞达仁 | 黑龙江，山歌，狩猎歌曲，高亢 | 皮衣，森林，晨光 | 高亢、狩猎、鄂伦春 | 24
[非遗] @赫哲族嫁令阔 | 黑龙江，民间小调，爱情歌曲 | 鱼皮衣，江边，夕阳 | 爱情、渔猎、赫哲 | 24
[非遗] @土家族哭嫁歌 | 湘西，出嫁歌，母女对唱，悲喜交集 | 红嫁衣，吊脚楼，烛光 | 哭嫁、民俗、土家 | 24,39
[非遗] @苗族飞歌 | 贵州，高腔，山野对唱，苗族情歌 | 银饰，高山，逆光 | 高亢、山歌、苗族 | 24
[非遗] @侗族拦路歌 | 贵州/广西，迎客对唱，酒歌，敬酒 | 彩衣，鼓楼，篝火 | 热情、酒歌、侗族 | 24
[非遗] @壮族嘹歌 | 广西，嘹调，山歌，爱情叙事 | 彩衣，山林，自然光 | 嘹亮、山歌、壮族 | 24
[非遗] @布依族勒尤 | 贵州，木叶吹奏，情歌，木叶 | 树叶，山林，自然光 | 情歌、吹奏、布依 | 24
[非遗] @水族马尾绣 | 贵州，马尾缠丝，刺绣，水族文字 | 彩色，马尾，自然光 | 古老、刺绣、水族 | 24,161
[非遗] @仡佬族傩戏 | 贵州，傩祭，面具，酬神 | 彩面具，村寨，篝火 | 祭祀、傩戏、仡佬 | 24,22,163
[非遗] @羌族刺绣 | 四川，羌绣，挑花，云纹，羊角纹 | 彩线，羌寨，自然光 | 粗犷、民族、羌族 | 24,161
[非遗] @普米族四弦舞乐 | 云南，四弦琴，舞蹈，节庆 | 彩衣，高原，篝火 | 欢快、舞乐、普米 | 24
[非遗] @怒族达比亚舞 | 云南，达比亚琴，模仿狩猎，男女对舞 | 彩衣，江边，篝火 | 狩猎、对舞、怒族 | 24
[非遗] @独龙族纹面 | 云南，女性纹面，蝴蝶图案，民族标识 | 蓝黑纹，独龙江，自然光 | 原始、标识、独龙 | 24
[非遗] @基诺族太阳鼓舞 | 西双版纳，太阳鼓，祭祀创世神 | 大鼓，雨林，晨光 | 祭祀、太阳、基诺 | 24
[非遗] @德昂族酸茶 | 云南，酸茶，发酵，土罐煮茶 | 茶叶，茶山，柔光 | 古朴、酸茶、德昂 | 24
[非遗] @拉祜族芦笙舞 | 云南，芦笙，圆圈舞，祭祀 | 芦笙，山寨，篝火 | 质朴、芦笙、拉祜 | 24
[非遗] @佤族甩发舞 | 云南，甩长发，女子舞蹈，狂欢 | 黑长发，佤寨，正午 | 狂野、甩发、佤族 | 24,22
[非遗] @纳西族白沙细乐 | 丽江，古乐，丝竹，洞经音乐 | 彩衣，纳西院，柔光 | 古雅、洞经、纳西 | 24
[非遗] @藏族弦子舞 | 西藏/四川，牛角胡，圆圈舞，柔美 | 藏袍，草原，夕阳 | 柔美、弦子、藏族 | 24
[非遗] @门巴族拔羌舞 | 西藏，祭祀舞蹈，战舞，面具 | 彩面具，雪山，篝火 | 祭祀、战舞、门巴 | 24,22
[非遗] @珞巴族刀舞 | 西藏，男性战舞，弓箭，驱鬼 | 竹弓，森林，篝火 | 战舞、驱鬼、珞巴 | 24,22,162
[非遗] @僜人服饰 | 西藏察隅，独有服饰，银饰，彩裙 | 彩银，山林，自然光 | 独特、服饰、僜人 | 24,161
[非遗] @京族独弦琴 | 广西，独弦，竹制，泛音 | 竹色，海边，柔光 | 独特、音色、京族 | 24
[非遗] @毛南族傩面 | 广西，木雕面具，还愿，36神 | 彩木，山村，篝火 | 傩面、还愿、毛南 | 24,22
[非遗] @仫佬族舞草龙 | 广西，草龙，舞龙，节庆 | 草龙，山寨，正午 | 草龙、舞龙、仫佬 | 24
[非遗] @少林棍 | 少林棍法，猿猴棍，风魔棍，刚猛凌厉 | 黄袈裟，木棍，扫棍，逆光，尘土飞扬 | 刚健、雄浑、实战 | 24,161,162
[非遗] @少林刀 | 少林单刀，缠头裹脑，劈砍撩扎，快如闪电 | 铁刀，刀花，刀影，硬光 | 凌厉、迅猛 | 24,162
[非遗] @少林枪 | 少林枪法，中平枪，六合枪，扎枪如龙 | 长枪，枪缨，枪花，逆光 | 霸气、穿透 | 24,162
[非遗] @少林剑 | 少林达摩剑，剑法刚柔并济，点崩劈刺 | 长剑，剑穗，剑光，侧逆光 | 飘逸、刚健 | 24,162
[非遗] @武当剑 | 太极剑，以柔克刚，缠丝剑，轻灵圆活 | 青袍，长剑，剑光如水，晨雾 | 飘逸、内劲 | 24,162
[非遗] @武当太乙拂尘 | 拂尘功，以柔克刚，扫缠抽甩 | 拂尘，青袍，武当山，逆光 | 仙气、柔中带刚 | 24,162
[非遗] @峨眉刺 | 峨眉刺，女子短兵，双手各持，刺穿点挑 | 银刺，青衣，峨眉云海，逆光 | 轻灵、凌厉、杀机 | 24,161,162
[非遗] @峨眉剑 | 峨眉剑法，刺撩劈点，身法轻灵 | 长剑，青色剑穗，峨眉金顶，晨雾 | 飘逸、优雅 | 24,162
[非遗] @青萍剑 | 山东，青萍剑法，快慢相间，身剑合一 | 长剑，青萍，水波倒影，柔光 | 飘逸、流畅 | 24,162
[非遗] @八极拳大枪 | 八极大枪，扎枪如箭，崩枪如雷，六大开 | 大枪，黑衫，练功场，尘土 | 刚猛、爆发 | 24,162
[非遗] @八极拳六合枪 | 八极六合枪，拦拿扎，枪走一线 | 长枪，黑裤白衫，硬光 | 刚烈、实战 | 24,162
[非遗] @形意五行刀 | 五行拳刀法，劈崩钻炮横，刀随步走 | 大刀，灰衣，黄土，正午 | 简洁、刚劲 | 24,162
[非遗] @形意麟角刀 | 鸳鸯形麟角刀，双持，刺扎挑撩 | 双刀，灰衣，晨光 | 对称、凌厉 | 24,162
[非遗] @八卦子午鸳鸯钺 | 八卦门奇门兵器，双持，月牙形，可锁可刺 | 银色钺，青衣，八卦图，柔光 | 诡异、奇门 | 24,162
[非遗] @八卦掌刀 | 八卦刀，刀法走转，与掌法结合 | 长刀，青衣，走圈，侧光 | 灵动、变化 | 24,162
[非遗] @咏春六点半棍 | 咏春棍法，长棍，以棍代拳，力从地起 | 长棍，黑裤白衫，木人桩旁，硬光 | 沉稳、劲力 | 24,162
[非遗] @咏春八斩刀 | 咏春双刀，蝴蝶双刀，近身短打，削斩刺 | 双刀，黑衫，硬光，刀光冷冽 | 凌厉、快速 | 24,162
[非遗] @洪拳铁线拳 | 铁线拳，硬桥硬马，桥手如铁，发声助势 | 铁环，黑裤红带，练功桩，正午 | 刚猛、洪亮 | 24,162
[非遗] @洪拳工字伏虎拳 | 工字伏虎，进退有方，拳风呼呼 | 黑衫，虎形桩，尘土 | 威猛、气势 | 24,162
[非遗] @洪拳虎鹤双形 | 虎鹤双形，刚柔并济，虎爪鹤嘴 | 虎鹤桩，南狮，硬光 | 刚柔、灵巧 | 24,162
[非遗] @蔡李佛蝴蝶双刀 | 蔡李佛双刀，南派双刀，削斩撩劈 | 双刀，黄衫，木桩，快速 | 凌厉、实战 | 24,162
[非遗] @蔡李佛棍 | 蔡李佛棍法，长棍，棍打一大片 | 长棍，黄衫，尘土 | 威猛、迅捷 | 24,162
[非遗] @查拳弹腿 | 查拳弹腿，腿法凌厉，十路弹腿 | 白衣，清真寺，正午 | 快速、弹腿 | 24,162
[非遗] @劈挂拳 | 劈挂拳，放长击远，双臂如鞭，势如破竹 | 灰衣，古槐，晨光 | 舒展、鞭劲 | 24,162
[非遗] @翻子拳 | 翻子拳，双拳密如雨，脆快一挂鞭 | 黑衫，硬光，拳影 | 快速、密集 | 24,162
[非遗] @地躺拳 | 地躺拳，卧地打斗，翻滚踢剪 | 灰衣，草地，低角度 | 诡异、奇招 | 24,162
[非遗] @醉拳 | 醉拳，模仿醉态，跌撞倒仆，攻防一体 | 白衣，酒葫芦，醉态，逆光 | 诙谐、刚猛 | 24,22,162
[非遗] @螳螂拳 | 螳螂拳，模仿螳螂，勾搂采挂，快速密集 | 灰衣，螳螂桩，逆光 | 快速、刁钻 | 24,162
[非遗] @鹰爪拳 | 鹰爪拳，模仿鹰爪，抓拿擒锁，指力惊人 | 灰衣，鹰桩，硬光 | 凌厉、擒拿 | 24,162
[非遗] @猴拳 | 猴拳，模仿猴姿，灵巧翻滚，抓挠偷桃 | 彩衣，猴面具，山林，自然光 | 灵巧、诙谐 | 24,162
[非遗] @蛇拳 | 蛇拳，模仿蛇形，柔韧缠丝，指插掌刺 | 青衣，蛇形，竹林中，柔光 | 柔韧、毒辣 | 24,162
[非遗] @狗拳 | 地犬拳，贴地打斗，抱腿摔绊，翻滚踢打 | 灰衣，草地，低角度 | 奇门、实战 | 24,162
[非遗] @岳家拳 | 岳飞所传，古朴实用，步法稳健，拳掌并重 | 灰衣，岳庙，硬光 | 古朴、实战 | 24,162
[非遗] @戚家拳 | 戚继光所创，结合军阵，朴实无华 | 明甲胄，演武场，正午 | 军阵、刚猛 | 24,162
[非遗] @太极拳剑 | 太极剑，以意导剑，以气运身，圆活柔和 | 白袍，太极剑，晨光，逆光 | 飘逸、内劲 | 24,162
[非遗] @太极推手 | 太极拳推手，双人练习，听劲化发 | 白袍，庭院，柔光 | 内劲、智斗 | 24,162
[非遗] @武当玄功刀 | 武当玄功刀，刀法轻灵，走转自如 | 长刀，青袍，武当山，晨雾 | 飘逸、凌厉 | 24,162
[非遗] @武当乾坤扇 | 武当扇功，铁骨折扇，开合击打 | 黑扇，青袍，武当云海，逆光 | 优雅、杀机 | 24,162
[非遗] @青城剑 | 青城剑法，轻灵矫健，刺劈点撩 | 长剑，青衣，青城山，晨雾 | 轻灵、矫健 | 24,162
[非遗] @昆仑剑 | 昆仑剑法，大开大合，气势磅礴 | 重剑，白衣，昆仑雪山，逆光 | 豪迈、凌厉 | 24,162
[非遗] @崆峒剑 | 崆峒剑法，刚柔并济，身法多变 | 长剑，灰衣，崆峒山，正午 | 多变、劲道 | 24,162
[非遗] @峨眉枪 | 峨眉枪法，枪扎一线，身随枪走 | 长枪，青衣，峨眉山，晨雾 | 轻灵、快速 | 24,162
[非遗] @峨眉匕首 | 峨眉匕首，双手各持，刺扎挑削 | 银匕首，青衣，晨光 | 隐秘、杀机 | 24,162
[非遗] @少林月牙铲 | 月牙铲，两头有刃，铲砸推刺 | 月牙铲，黄袈裟，塔林，逆光 | 雄浑、重器 | 24,162
[非遗] @少林九节鞭 | 九节鞭，软中带硬，缠扫点砸 | 铁鞭，黄袈裟，硬光，鞭影 | 刚柔、花式 | 24,162
[非遗] @少林流星锤 | 流星锤，绳索软锤，远距离打击 | 铁锤，黄袈裟，抛物线轨迹 | 奇门、惊险 | 24,162
[非遗] @峨眉双钺 | 峨眉双钺，月牙形，双手持，刺钩推挡 | 银钺，青衣，峨眉山，柔光 | 奇门、凌厉 | 24,162
[非遗] @八卦鸡爪钺 | 八卦门奇门兵器，形如鸡爪，锁拿刀剑 | 银钺，青衣，八卦图 | 诡异、锁拿 | 24,162
[非遗] @子午鸳鸯钺 | 子午鸳鸯钺，八卦门双持，攻防一体 | 银钺，青衣，走圈，逆光 | 奇门、凌厉 | 24,162
[非遗] @风火轮 | 八卦门双轮，环形带刃，掷出回收 | 金轮，青衣，空中轨迹 | 奇门、华丽 | 24,162
[非遗] @佛尘 | 道门/佛门拂尘，丝线，以柔克刚，扫缠抽 | 拂尘，道袍/袈裟，逆光 | 仙气、柔中带刚 | 24,162
[非遗] @日月乾坤圈 | 乾坤圈，环形兵器，套锁掷砸 | 金圈，武服，空中旋转 | 奇门、诡谲 | 24,162
[非遗] @判官笔 | 笔形暗器，点穴，近身刺打 | 铁笔，长衫，书房，侧光 | 文雅、阴险 | 24,162
[非遗] @峨眉刺短版 | 峨眉刺，套于中指，刺扎挑划 | 银刺，青衣，晨光，特写手部 | 隐秘、杀机 | 24,162
[非遗] @钩镰枪 | 枪头带钩，钩马腿，破骑兵 | 钩镰枪，宋甲胄，古战场，正午 | 军阵、克制 | 24,162
[非遗] @狼筅 | 明代抗倭兵器，多枝杈，阻挡刺杀 | 狼筅，明甲胄，演武场，逆光 | 奇门、克制 | 24,162
[非遗] @镋 | 长柄重兵器，形似叉，有锋刃 | 镋，重甲，古战场，硬光 | 霸道、重器 | 24,162
[非遗] @槊 | 马槊，骑兵长矛，重达数十斤 | 槊，铠甲，战马，夕阳 | 霸气、重骑 | 24,162
[非遗] @锏 | 铁鞭形，四棱无刃，砸打 | 铜锏，武将甲胄，演武场，硬光 | 刚猛、重击 | 24,162
[非遗] @鞭 | 竹节钢鞭，软鞭，抽打扫缠 | 铁鞭，武服，硬光，鞭影 | 刚柔、花式 | 24,162
[非遗] @锤 | 金瓜锤，重兵器，砸击震碎 | 金锤，重甲，硬光，尘土 | 霸力、重器 | 24,162
[非遗] @戈 | 青铜戈，勾啄，商周战车兵器 | 青铜戈，战车，古战场，逆光 | 古朴、战阵 | 24,162
[非遗] @戟 | 方天画戟，矛戈合一，刺挑勾砍 | 画戟，银甲，夕阳，逆光 | 华丽、霸气 | 24,162
[非遗] @钺 | 青铜大钺，斧形，仪仗或劈砍 | 青铜钺，商周服饰，祭祀台，硬光 | 庄严、重器 | 24,162
[非遗] @殳 | 长柄打击兵器，头部有铜箍 | 殳，战车兵，古战场，正午 | 古朴、重击 | 24,162
[非遗] @三节棍 | 三节相连，抽打缠锁 | 铁棍，武服，快速挥舞，残影 | 刚柔、花式 | 24,162
[非遗] @哨子刀 | 藏刀，刀鞘有哨，出鞘有哨音 | 藏刀，藏袍，高原，逆光 | 神秘、凌厉 | 24,162
[非遗] @藏刀 | 藏族传统腰刀，装饰华丽，锋利 | 藏刀，藏袍，雪山，逆光 | 华丽、锋利 | 24,161
[非遗] @苗刀 | 苗族/明代长刀，刀身修长，双手握 | 长刀，黑衫，逆光，刀光如月 | 凌厉、霸气 | 24,162
[非遗] @戚家刀 | 戚继光改良，仿倭刀，单手握 | 佩刀，明甲胄，演武场，正午 | 实战、快利 | 24,162
[非遗] @双手带 | 长柄单刀，带铁环，双手使用 | 长刀，武服，硬光 | 威猛、沉力 | 24,162
[非遗] @护手钩 | 双钩，护手有刃，可钩可刺 | 双钩，武服，硬光，钩影 | 奇门、锁拿 | 24,162
[非遗] @双节棍 | 软硬相间，抽打锁缠，速度极快 | 双节棍，黑衫，高速挥舞，残影 | 快速、花式 | 24,162
[非遗] @三节棍双头 | 双头三节棍，攻守兼备，缠绕击打 | 铁棍，武服，快速旋转 | 花式、诡异 | 24,162
[非遗] @绳镖 | 绳索铁镖，远距离打击，回收 | 铁镖，武服，抛物线轨迹 | 奇门、远攻 | 24,162
[非遗] @飞镖 | 手里剑，星形铁镖，投掷暗器 | 铁镖，黑衣，夜雨，逆光 | 隐秘、阴险 | 24,162
[非遗] @飞刀 | 小刀投掷，暗器，精准命中 | 小刀，黑衣，训练靶，硬光 | 精准、杀机 | 24,162
[非遗] @袖箭 | 袖中机关，发射短箭，出其不意 | 袖箭，黑衣，特写手臂 | 隐秘、机关 | 24,162
[非遗] @吹箭 | 竹管吹针，暗器，无声无息 | 竹管，毒针，森林，自然光 | 隐秘、毒杀 | 24,162
[非遗] @血滴子 | 清代传说暗器，罩头取首 | 金属帽，黑巾，夜行，逆光 | 恐怖、神秘 | 24,22
[非遗] @甩棍 | 伸缩甩棍，便携，抽打戳击 | 甩棍，黑衣，硬光 | 现代、实战 | 24,162

[非遗] @陈氏太极拳 | 陈王廷创编，刚柔并济，缠丝劲，发力明显 | 白袍，太极拳架，晨光，逆光 | 刚柔、内劲 | 24,162
[非遗] @杨氏太极拳 | 杨露禅传，舒展大方，柔和缓慢，普及最广 | 白袍，公园，晨练，柔光 | 舒展、柔和 | 24,162
